,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particle,Field,Livetime,Realtime,Tier,Area,Average diameter,Perimeter,Orientation,Max circle radius,Area in pixels,Volume of sphere,Equivalent diameter,Class,Total,C,O,Na,Cl,Al,Fe,Cu,Mg,Sr,S,N,Si,K,Ca,Tl,Cr,Pd,Mo,W,F,V,Sc,Ni,Ru,Ba,Rh,P,Mn,B,Field,Area,Average diameter,Volume of sphere
P20,6,8.265,8.265,0,6.354582,3.560371,11.910649,102,0.925401,314,37.85682,2.844452,Unclassified,1,0.8850017505,0.1118475261,,,,,,,,,,0.0031507234,,,,,,,,,,,,,,,,,,6,6.354582,3.560371,37.85682
P21,6,8.265,8.265,0,0.526176,0.934021,2.847038,170,0.413852,26,0.902007,0.818503,Unclassified,1,0.7759952674,0.0960552867,0.0478805894,0.0800688565,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.526176,0.934021,0.902007
P22,7,10.598,10.598,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.0004491601,0.7754117846,0.1654324212,,,,,,,,0.0587066341,,,,,,,,,,,,,,,,,,,7,0.08095,0.362155,0.05443
P23,7,11.197,11.197,0,0.141663,0.490353,1.456557,0,0.206926,7,0.126008,0.4247,Unclassified,1,0.7939436457,0.2060563543,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.141663,0.490353,0.126008
P24,7,10.948,10.948,0,0.141663,0.511702,1.522634,103,0.146319,7,0.126008,0.4247,Unclassified,1,0.7668921564,0.2004379965,0.013734583,0.0112414051,,,,0.0028394552,,0.0040437043,,0.0008106996,,,,,,,,,,,,,,,,,,7,0.141663,0.511702,0.126008
P25,8,11.997,11.997,0,0.141663,0.564811,1.703629,90,0.146319,7,0.126008,0.4247,Unclassified,1,0.8124253382,0.187058099,,,,,,0.0005165628,,,,,,,,,,,,,,,,,,,,,,8,0.141663,0.564811,0.126008
P26,8,11.654,11.654,0,0.121425,0.561193,1.703629,90,0.146319,6,0.099995,0.393196,Unclassified,1,0.7732083692,0.2143235269,0.0055445306,0.0055164961,,,,0.0014070771,,,,,,,,,,,,,,,,,,,,,,8,0.121425,0.561193,0.099995
P27,8,11.21,11.21,0,0.121425,0.495443,1.471741,0,0.146319,6,0.099995,0.393196,Unclassified,1,0.7622412897,0.2195623129,0.0049380081,0.0022794517,,,,0.0028555453,,0.0081233922,,,,,,,,,,,,,,,,,,,,8,0.121425,0.495443,0.099995
P28,8,10.422,10.422,0,0.222613,0.618551,1.83373,0,0.292637,11,0.248221,0.53239,Unclassified,1,0.7284716468,0.2473955043,0.0039469143,,0.0009829921,,,0.0026599536,,0.0074049137,,0.0091380752,,,,,,,,,,,,,,,,,,8,0.222613,0.618551,0.248221
P29,9,11.753,11.753,0,0.586888,1.048895,3.323947,31,0.327179,29,1.062543,0.864436,Unclassified,1,0.7748399364,0.2126229601,0.0125371035,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.586888,1.048895,1.062543
