,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particle,Field,Livetime,Realtime,Tier,Area,Average diameter,Perimeter,Orientation,Max circle radius,Area in pixels,Volume of sphere,Equivalent diameter,Class,Total,C,O,Na,Cl,Al,Fe,Cu,Mg,Sr,S,N,Si,K,Ca,Tl,Cr,Pd,Mo,W,F,V,Sc,Ni,Ru,Ba,Rh,P,Mn,B,Field,Area,Average diameter,Volume of sphere
P244,66,10.586,10.586,0,0.1619,0.516792,1.537817,40,0.206926,8,0.153952,0.454024,Unclassified,1,0.7786005088,0.1916341865,0.0127247592,0.0134665678,,,,,,0.0035739777,,,,,,,,,,,,,,,,,,,,66,0.1619,0.516792,0.153952
P245,66,12,12,0,0.121425,0.485262,1.441374,111,0.146319,6,0.099995,0.393196,Unclassified,1,0.8102319721,0.1847321939,0.0023158483,0.0027199858,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.121425,0.485262,0.099995
P246,66,11.497,11.497,0,0.222613,0.708795,2.162061,99,0.206926,11,0.248221,0.53239,Unclassified,1,0.8473775428,0.151077081,,,,,,,,,,0.0015453762,,,,,,,,,,,,,,,,,,66,0.222613,0.708795,0.248221
P247,66,10.307,10.307,0,0.24285,0.631225,1.881331,90,0.292637,12,0.282827,0.556063,Unclassified,1,0.8551175121,0.1448824879,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.24285,0.631225,0.282827
P248,67,11.643,11.643,0,0.08095,0.397269,1.17912,121,0.146319,4,0.05443,0.321043,Unclassified,1,0.8082436306,0.1917563694,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,0.08095,0.397269,0.05443
P249,68,11.178,11.178,0,0.060713,0.335715,0.998125,139,0.146319,3,0.035353,0.278032,Unclassified,1,0.7994036938,0.1963783877,0.0014961184,,,,,,,0.0027218001,,,,,,,,,,,,,,,,,,,,68,0.060713,0.335715,0.035353
P250,68,9.824,9.824,0,0.465463,1.140132,3.516832,22,0.206926,23,0.750484,0.769835,Unclassified,1,0.867711658,0.1309763007,,,,,,,,,,0.0013120413,,,,,,,,,,,,,,,,,,68,0.465463,1.140132,0.750484
P251,68,10.111,10.111,0,0.384513,0.794538,2.358239,90,0.292637,19,0.563482,0.699698,Unclassified,1,5.1697443E-05,0.6975780771,0.1785380359,,,,,0.0090756919,,0.013902319,0.1008541787,,,,,,,,,,,,,,,,,,,68,0.384513,0.794538,0.563482
P252,69,10.22,10.22,0,0.384513,0.791982,2.373423,40,0.327179,19,0.563482,0.699698,Unclassified,1,0.738422476,0.2317042897,0.0156440879,,,,,0.0013554831,,0.0107626622,,0.002111001,,,,,,,,,,,,,,,,,,69,0.384513,0.791982,0.563482
P253,69,11.087,11.087,0,0.1619,0.516792,1.537817,40,0.206926,8,0.153952,0.454024,Unclassified,1,0.7601472856,0.2253057804,0.0118201176,0.0016954375,,,,,,,,0.0010313788,,,,,,,,,,,,,,,,,,69,0.1619,0.516792,0.153952
P254,69,10.525,10.525,0,0.485701,0.966596,2.997667,75,0.292637,24,0.799957,0.786392,Unclassified,1,0.7699923634,0.2052542688,0.0113958659,0.0105459493,,,,,,0.0028115525,,,,,,,,,,,,,,,,,,,,69,0.485701,0.966596,0.799957
P255,70,11.01,11.01,0,0.364275,0.839201,2.539234,70,0.292637,18,0.519587,0.681036,Unclassified,1,0.8075557843,0.1790032676,0.0078874916,0.0055534564,,,,,,,,,,,,,,,,,,,,,,,,,,70,0.364275,0.839201,0.519587
P256,70,11.015,11.015,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.7672297534,0.2180037742,0.0093886692,0.0041766186,,,,,,,,0.0012011847,,,,,,,,,,,,,,,,,,70,0.060713,0.335715,0.035353
P257,72,10.457,10.457,0,0.182138,0.574992,1.733995,28,0.206926,9,0.183702,0.481565,Unclassified,1,0.8194693186,0.1805306814,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0.182138,0.574992,0.183702
P258,73,10.382,10.382,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.8465801532,0.1520904549,,,,,,,,,,0.0013293919,,,,,,,,,,,,,,,,,,73,0.060713,0.335715,0.035353
P259,73,10.269,10.269,0,0.24285,0.664013,2.014725,112,0.292637,12,0.282827,0.556063,Unclassified,1,0.8630369147,0.1369630853,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.24285,0.664013,0.282827
P260,73,10.542,10.542,0,0.222613,0.610904,1.83373,0,0.206926,11,0.248221,0.53239,Unclassified,1,0.7314580988,0.2394373383,0.0200827383,0.0059441059,0.0005160639,,,0.00084411,,,,0.0017175448,,,,,,,,,,,,,,,,,,73,0.222613,0.610904,0.248221
P261,74,11.384,11.384,0,0.121425,0.482706,1.456557,0,0.146319,6,0.099995,0.393196,Unclassified,1,0.8158733929,0.1814215175,0.0019641564,,,,,,,,,0.0007409332,,,,,,,,,,,,,,,,,,74,0.121425,0.482706,0.099995
P262,74,10.837,10.837,0,0.40475,0.813331,2.439499,103,0.292637,20,0.608548,0.717875,Unclassified,1,0.7490402933,0.2276594653,0.0127983678,,,,,0.0018465467,,0.0076538332,,0.0010014937,,,,,,,,,,,,,,,,,,74,0.40475,0.813331,0.608548
P263,75,11.227,11.227,0,0.283325,0.698099,2.095985,58,0.292637,14,0.356403,0.600617,Unclassified,1,0.7832552226,0.2070854441,0.0066527439,,,,,0.0015244658,,0.0014821236,,,,,,,,,,,,,,,,,,,,75,0.283325,0.698099,0.356403
P264,75,11.145,11.145,0,1.254726,1.684123,5.166275,178,0.413852,62,3.321522,1.263949,Unclassified,1,0.7925772818,0.1276745099,0.0301358768,0.0386611893,,,,0.0016120292,,0.006180833,,,,0.00315828,,,,,,,,,,,,,,,,75,1.254726,1.684123,3.321522
P265,75,11.038,11.038,0,0.344038,0.746749,2.210903,0,0.327179,17,0.476895,0.661848,Unclassified,1,0.7671939192,0.2071439446,0.0139953609,0.0065154519,,,,0.0012004746,,0.0039508488,,,,,,,,,,,,,,,,,,,,75,0.344038,0.746749,0.476895
P266,76,12.04,12.04,0,0.283325,0.680105,2.014725,112,0.292637,14,0.356403,0.600617,Unclassified,1,0.7726725795,0.2094302455,0.0136810661,0.0023301123,,,,0.0018859965,,,,,,,,,,,,,,,,,,,,,,76,0.283325,0.680105,0.356403
P267,77,11.441,11.441,0,0.24285,0.657894,1.981066,68,0.206926,12,0.282827,0.556063,Unclassified,1,0.7648918443,0.222329229,0.0077988391,0.0029802637,,,,0.001999824,,,,,,,,,,,,,,,,,,,,,,77,0.24285,0.657894,0.282827
P268,77,11.372,11.372,0,0.08095,0.397269,1.17912,90,0.146319,4,0.05443,0.321043,Unclassified,1,0.7987312496,0.1924602244,0.0051784972,,,,,,,0.0036300289,,,,,,,,,,,,,,,,,,,,77,0.08095,0.397269,0.05443
P269,77,11.56,11.56,0,0.182138,0.543232,1.619077,0,0.292637,9,0.183702,0.481565,Unclassified,1,0.82261809,0.1566877503,0.0101083399,0.0098199713,,,,,,,,0.0007658485,,,,,,,,,,,,,,,,,,77,0.182138,0.543232,0.183702
P270,77,11.177,11.177,0,0.141663,0.517022,1.556293,89,0.206926,7,0.126008,0.4247,Unclassified,1,0.7435658006,0.2433049819,0.0119648877,,,,,0.0011643299,,,,,,,,,,,,,,,,,,,,,,77,0.141663,0.517022,0.126008
P271,77,12.417,12.417,0,0.141663,0.511702,1.522634,103,0.146319,7,0.126008,0.4247,Unclassified,1,0.8430836128,0.1217356705,0.0155926038,0.018560231,,,,0.0010278819,,,,,,,,,,,,,,,,,,,,,,77,0.141663,0.511702,0.126008
P272,78,11.423,11.423,0,0.202375,0.592111,1.752471,36,0.206926,10,0.215154,0.507614,Unclassified,1,0.7725731061,0.2076470465,0.0075433801,,,,,0.0013046654,,0.0099200612,,0.0010117408,,,,,,,,,,,,,,,,,,78,0.202375,0.592111,0.215154
P273,78,12.136,12.136,0,0.667838,1.094793,3.308763,128,0.413852,33,1.289795,0.922127,Unclassified,1,0.0001876195,0.7309623669,0.0134665723,,,,,,,0.112052492,0.1433309492,,,,,,,,,,,,,,,,,,,78,0.667838,1.094793,1.289795
P274,79,9.977,9.977,0,0.566651,0.941529,2.816672,102,0.413852,28,1.008061,0.849401,Unclassified,1,0.7961794426,0.1132403385,0.0342089346,0.0518956156,,,,0.0008889724,,0.002010579,,0.0015761172,,,,,,,,,,,,,,,,,,79,0.566651,0.941529,1.008061
P275,80,11.039,11.039,0,0.24285,0.631225,1.881331,90,0.292637,12,0.282827,0.556063,Unclassified,1,0.7801485094,0.1236605688,0.0466494886,0.0458265333,,,,0.0009131294,,,,0.0028017704,,,,,,,,,,,,,,,,,,80,0.24285,0.631225,0.282827
P276,80,12.077,12.077,0,0.060713,0.357064,1.064201,90,0.146319,3,0.035353,0.278032,Unclassified,1,0.7708120684,0.1999884298,0.0248543715,0.0025909459,,,,,,,,0.0017541844,,,,,,,,,,,,,,,,,,80,0.060713,0.357064,0.035353
P277,80,9.121,9.121,0,0.829738,1.189893,3.582909,0,0.438956,41,1.786181,1.02784,Unclassified,1,1.708984E-05,0.6055134826,0.1859927953,0.0275785245,,,,0.0162800677,,0.0417703786,0.1173720869,0.0054755746,,,,,,,,,,,,,,,,,,80,0.829738,1.189893,1.786181
P278,80,9.303,9.303,0,1.052351,1.467401,4.584326,43,0.327179,52,2.55126,1.157538,Unclassified,1,0.8671884373,0.1289059258,,,,,,,,,,0.0039056369,,,,,,,,,,,,,,,,,,80,1.052351,1.467401,2.55126
P279,80,7.285,7.285,0,6.071256,3.290241,10.34572,16,1.142786,300,35.353429,2.780317,Unclassified,1,0.895144209,0.102832119,,,,,,,,,,0.002023672,,,,,,,,,,,,,,,,,,80,6.071256,3.290241,35.353429
P280,80,9.983,9.983,0,0.647601,0.999728,3.01285,92,0.438956,32,1.231614,0.908048,Unclassified,1,0.7950257617,0.1737590546,,0.0282469192,,,,0.0008019265,,0.002166338,,,,,,,,,,,,,,,,,,,,80,0.647601,0.999728,1.231614
P281,80,7.548,7.548,0,2.327315,1.851567,5.697369,154,0.78795,115,8.390666,1.721403,Unclassified,1,0.5056026181,0.340633385,0.0482031849,0.0455931909,0.000618714,,,0.008855935,,0.0382153998,,0.003171306,0.0010918531,0.0080144132,,,,,,,,,,,,,,,,80,2.327315,1.851567,8.390666
P282,82,8.95,8.95,0,4.836768,2.96882,9.648853,94,0.981536,239,25.138914,2.481605,Unclassified,1,0.8550825345,0.1435064248,,,,,,,,,,0.0014110407,,,,,,,,,,,,,,,,,,82,4.836768,2.96882,25.138914
P283,82,10.591,10.591,0,0.222613,0.618551,1.83373,0,0.292637,11,0.248221,0.53239,Unclassified,1,0.801689256,0.1822478108,,0.0092165765,,,,,,,,,,,,0.0068463567,,,,,,,,,,,,,,82,0.222613,0.618551,0.248221
P284,82,10.498,10.498,0,0.667838,1.025369,3.09411,64,0.438956,33,1.289795,0.922127,Unclassified,1,0.7209539215,0.2562956743,0.0216394285,,,,,,,0.0011109757,,,,,,,,,,,,,,,,,,,,82,0.667838,1.025369,1.289795
P285,82,10.797,10.797,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7197566096,0.2503035603,0.0248461423,0.0028569014,,,,0.0014098628,,,,0.0008269236,,,,,,,,,,,,,,,,,,82,0.08095,0.362155,0.05443
P286,83,13.736,13.736,0,0.060713,0.357064,1.064201,90,0.146319,3,0.035353,0.278032,Unclassified,1,0.8344844572,0.148117481,,,,0.0173980618,,,,,,,,,,,,,,,,,,,,,,,,83,0.060713,0.357064,0.035353
P287,83,9.138,9.138,0,0.971401,1.311605,4.026158,35,0.438956,48,2.262619,1.112127,Unclassified,1,0.7670639473,0.1370961653,0.0376308325,0.056488746,0.0003450925,,,0.0013752164,,,,,,,,,,,,,,,,,,,,,,83,0.971401,1.311605,2.262619
P288,83,10.593,10.593,0,0.3238,0.729629,2.192428,17,0.292637,16,0.435441,0.642087,Unclassified,1,0.0005419189,0.7015196437,0.153183005,0.0218384155,,,,0.0147175017,,0.0200598403,0.0719429204,0.0161967546,,,,,,,,,,,,,,,,,,83,0.3238,0.729629,0.435441
P289,84,11.318,11.318,0,0.101188,0.476817,1.441374,89,0.146319,5,0.076068,0.358937,Unclassified,1,0.8316949535,0.1683050465,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,0.101188,0.476817,0.076068
P290,84,11.528,11.528,0,0.08095,0.415263,1.260379,66,0.146319,4,0.05443,0.321043,Unclassified,1,0.796857806,0.1928041873,0.007502379,,,,,,,0.0028356276,,,,,,,,,,,,,,,,,,,,84,0.08095,0.415263,0.05443
P291,84,11.224,11.224,0,0.222613,0.610106,1.83373,5,0.206926,11,0.248221,0.53239,Unclassified,1,0.7650914236,0.2156039505,0.0169485797,,,,,0.0011554965,,0.0012005497,,,,,,,,,,,,,,,,,,,,84,0.222613,0.610106,0.248221
P292,85,11.071,11.071,0,0.060713,0.367245,1.094568,0,0.146319,3,0.035353,0.278032,Unclassified,1,0.7720609228,0.2094790366,0.0080926096,0.0047892994,,,,0.0026315721,,0.0029465595,,,,,,,,,,,,,,,,,,,,85,0.060713,0.367245,0.035353
P293,86,9.948,9.948,0,0.526176,0.919152,2.73212,31,0.413852,26,0.902007,0.818503,Unclassified,1,0.000091515,0.6599431998,0.2060770357,0.0117056554,,,,,,0.0170272267,0.1051553674,,,,,,,,,,,,,,,,,,,86,0.526176,0.919152,0.902007
P294,86,7.295,7.295,0,1.740427,1.637026,4.993917,73,0.603288,86,5.426219,1.488617,Unclassified,1,0.7137569172,0.0934749443,0.0697425842,0.1189179399,,,,0.0011752755,,0.0029323389,,,,,,,,,,,,,,,,,,,,86,1.740427,1.637026,5.426219
P295,88,10.704,10.704,0,0.849976,1.190921,3.682644,8,0.4627,42,1.851926,1.040299,Unclassified,1,0.7670797573,0.1859324904,0.0231200862,0.0238676661,,,,,,,,,,,,,,,,,,,,,,,,,,88,0.849976,1.190921,1.851926
P296,89,11.228,11.228,0,0.3238,0.732984,2.177245,126,0.292637,16,0.435441,0.642087,Unclassified,1,0.7377491316,0.2344078892,0.0128804107,0.0068937464,,,,0.0032405301,,0.0035232693,,,,0.0013050227,,,,,,,,,,,,,,,,89,0.3238,0.732984,0.435441
P297,90,9.333,9.333,0,3.096341,2.432718,7.524515,161,0.731594,153,12.876173,1.985544,Unclassified,1,0.9143062946,0.0845055266,,,,,,,,,,0.0011881788,,,,,,,,,,,,,,,,,,90,3.096341,2.432718,12.876173
P298,91,10.707,10.707,0,0.060713,0.335715,0.998125,139,0.146319,3,0.035353,0.278032,Unclassified,1,0.8035241973,0.1830568842,0.0049209482,0.0084979703,,,,,,,,,,,,,,,,,,,,,,,,,,91,0.060713,0.335715,0.035353
P299,91,10.696,10.696,0,0.263088,0.685807,2.077509,38,0.292637,13,0.318907,0.578769,Unclassified,1,0.7700291115,0.1814002383,0.0214643602,0.0234938426,,,,0.0027148525,,,,0.000897595,,,,,,,,,,,,,,,,,,91,0.263088,0.685807,0.318907
P300,91,9.161,9.161,0,0.485701,0.90306,2.73212,163,0.327179,24,0.799957,0.786392,Unclassified,1,0.7753859644,0.1375830782,0.0348034589,0.0517352814,,,,0.0004922171,,,,,,,,,,,,,,,,,,,,,,91,0.485701,0.90306,0.799957
P301,91,7.755,7.755,0,8.864034,3.88953,12.182312,112,1.258681,438,62.367857,3.35947,Unclassified,1,0.9367986308,0.0632013692,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,8.864034,3.88953,62.367857
P302,92,10.27,10.27,0,0.24285,0.644991,1.91499,143,0.292637,12,0.282827,0.556063,Unclassified,1,0.7856999193,0.1719401692,0.0163451797,0.0249778774,,,,0.0010368544,,,,,,,,,,,,,,,,,,,,,,92,0.24285,0.644991,0.282827
P303,92,10.96,10.96,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7472917203,0.2385834237,0.014124856,,,,,,,,,,,,,,,,,,,,,,,,,,,92,0.08095,0.362155,0.05443
P304,92,9.356,9.356,0,0.667838,1.035092,3.109293,165,0.413852,33,1.289795,0.922127,Unclassified,1,5.4629895E-05,0.5468117619,0.134281311,0.183684375,,,,0.007210411,,0.0356412718,0.0877973188,0.0045189206,,,,,,,,,,,,,,,,,,92,0.667838,1.035092,1.289795
P305,92,10.547,10.547,0,0.202375,0.583437,1.733995,0,0.206926,10,0.215154,0.507614,Unclassified,1,0.7389709071,0.228815067,0.0139630376,,,,,,,0.0169509174,,0.0013000709,,,,,,,,,,,,,,,,,,92,0.202375,0.583437,0.215154
P306,93,10.785,10.785,0,0.121425,0.463913,1.375298,141,0.206926,6,0.099995,0.393196,Unclassified,1,0.7666549345,0.2101726618,0.0103517829,0.012555137,0.0002654837,,,,,,,,,,,,,,,,,,,,,,,,,93,0.121425,0.463913,0.099995
P307,96,11.388,11.388,0,0.182138,0.569901,1.718812,88,0.206926,9,0.183702,0.481565,Unclassified,1,0.7962789562,0.2024866237,,,,,,0.0003352047,,,,0.0008992154,,,,,,,,,,,,,,,,,,96,0.182138,0.569901,0.183702
P308,96,11.083,11.083,0,0.1619,0.543461,1.637552,69,0.206926,8,0.153952,0.454024,Unclassified,1,0.8646772822,0.1335284807,,,,,,,,,,0.0017942371,,,,,,,,,,,,,,,,,,96,0.1619,0.543461,0.153952
P309,96,10.811,10.811,0,0.1619,0.516792,1.537817,140,0.206926,8,0.153952,0.454024,Unclassified,1,0.7898215363,0.1814428138,0.0106851901,0.0157754249,,,,,,0.002275035,,,,,,,,,,,,,,,,,,,,96,0.1619,0.516792,0.153952
P310,96,11.025,11.025,0,0.182138,0.543232,1.619077,0,0.292637,9,0.183702,0.481565,Unclassified,1,0.8083641798,0.18788466,0.0021997338,0.0015514263,,,,,,,,,,,,,,,,,,,,,,,,,,96,0.182138,0.543232,0.183702
P311,97,11.387,11.387,0,0.141663,0.613012,1.848914,26,0.146319,7,0.126008,0.4247,Unclassified,1,0.7983784619,0.1837289873,0.0088939178,0.0061364509,,,,0.0019435028,,,,0.0009186794,,,,,,,,,,,,,,,,,,97,0.141663,0.613012,0.126008
P312,97,10.239,10.239,0,0.263088,0.663783,1.99625,41,0.292637,13,0.318907,0.578769,Unclassified,1,0.8190298686,0.1809701314,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0.263088,0.663783,0.318907
P313,97,10.76,10.76,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.7783066983,0.2085555312,0.0056317896,,,,,0.0014935385,,0.0060124424,,,,,,,,,,,,,,,,,,,,97,0.060713,0.335715,0.035353
P314,98,11.179,11.179,0,0.141663,0.543461,1.637552,54,0.146319,7,0.126008,0.4247,Unclassified,1,0.8293880627,0.1706119373,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.141663,0.543461,0.126008
P315,98,11.934,11.934,0,0.40475,0.826297,2.473158,58,0.327179,20,0.608548,0.717875,Unclassified,1,0.0005666568,0.7902678075,,,,,,,,0.0554965543,0.1536689814,,,,,,,,,,,,,,,,,,,98,0.40475,0.826297,0.608548
P316,99,10.82,10.82,0,0.424988,0.955337,2.916407,63,0.292637,21,0.654755,0.735603,Unclassified,1,0.7627461456,0.2267240079,0.0056452243,,,,,0.0016421056,,0.0032425166,,,,,,,,,,,,,,,,,,,,99,0.424988,0.955337,0.654755
P317,99,10.753,10.753,0,0.263088,0.721151,2.19572,71,0.206926,13,0.318907,0.578769,Unclassified,1,0.8376486034,0.1612100913,,,,,,,,,,0.0011413053,,,,,,,,,,,,,,,,,,99,0.263088,0.721151,0.318907
P318,100,7.357,7.357,0,11.454437,4.597901,15.002708,133,1.448481,566,91.616628,3.818932,Unclassified,1,0.9321660793,0.0678339207,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,11.454437,4.597901,91.616628
P319,101,9.839,9.839,0,2.995153,2.342705,7.247077,158,0.731594,148,12.250173,1.952831,Unclassified,1,0.9193605988,0.0792507131,,,,,,,,,,0.0013886881,,,,,,,,,,,,,,,,,,101,2.995153,2.342705,12.250173
P320,101,11.736,11.736,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.8025550976,0.196260622,,,,,,,,,,0.0011842804,,,,,,,,,,,,,,,,,,101,0.060713,0.335715,0.035353
P321,101,10.834,10.834,0,0.24285,0.644991,1.91499,37,0.292637,12,0.282827,0.556063,Unclassified,1,0.7942733382,0.1929030943,0.0055547753,0.0062966383,,,,0.000972154,,,,,,,,,,,,,,,,,,,,,,101,0.24285,0.644991,0.282827
P322,101,11.235,11.235,0,0.222613,0.618551,1.83373,0,0.292637,11,0.248221,0.53239,Unclassified,1,0.8201677558,0.1752195292,0.0018400982,0.0012877398,,,,0.001484877,,,,,,,,,,,,,,,,,,,,,,101,0.222613,0.618551,0.248221
P323,101,9.294,9.294,0,0.748788,1.117044,3.371547,42,0.413852,37,1.531272,0.976415,Unclassified,1,0.7203265966,0.2032986353,0.0320104244,0.0372673767,,,,0.0033535595,,0.0030843587,,0.0006590488,,,,,,,,,,,,,,,,,,101,0.748788,1.117044,1.531272
P324,101,10.865,10.865,0,0.121425,0.463913,1.375298,141,0.206926,6,0.099995,0.393196,Unclassified,1,0.7771387838,0.2065705053,0.0095905405,0.0042904614,,,,0.002409709,,,,,,,,,,,,,,,,,,,,,,101,0.121425,0.463913,0.099995
P325,102,10.942,10.942,0,0.08095,0.402359,1.194303,153,0.146319,4,0.05443,0.321043,Unclassified,1,0.796131643,0.1965860499,0.0026,0.0016325473,,,,,,0.0030497651,,,,,,,,,,,,,,,,,,,,102,0.08095,0.402359,0.05443
P326,103,11.483,11.483,0,0.060713,0.335715,0.998125,139,0.146319,3,0.035353,0.278032,Unclassified,1,0.8001674885,0.1741801741,0.0113563832,0.0142959542,,,,,,,,,,,,,,,,,,,,,,,,,,103,0.060713,0.335715,0.035353
P327,103,11.925,11.925,0,0.060713,0.367245,1.094568,0,0.146319,3,0.035353,0.278032,Unclassified,1,0.8084699161,0.1426836826,0.0200718408,0.0186001891,,,,0.0015356186,,0.0033815789,,0.00225969,,0.0029974839,,,,,,,,,,,,,,,,103,0.060713,0.367245,0.035353
P328,103,8.71,8.71,0,1.072589,1.357015,4.104125,174,0.438956,53,2.625206,1.168616,Unclassified,1,0.8597562202,0.1390124671,,,,,,,,,,0.0012313127,,,,,,,,,,,,,,,,,,103,1.072589,1.357015,2.625206
P329,103,9.735,9.735,0,0.627363,1.294577,3.965425,100,0.292637,31,1.174336,0.893747,Unclassified,1,9.0665808E-05,0.6553696162,0.194093864,0.0259583758,,,,0.0087835601,,,0.1157039182,,,,,,,,,,,,,,,,,,,103,0.627363,1.294577,1.174336
P330,103,11.076,11.076,0,0.222613,0.610106,1.83373,175,0.206926,11,0.248221,0.53239,Unclassified,1,0.7879148886,0.1898478346,,,,0.0222372769,,,,,,,,,,,,,,,,,,,,,,,,103,0.222613,0.610106,0.248221
P331,104,10.702,10.702,0,0.141663,0.490353,1.456557,0,0.206926,7,0.126008,0.4247,Unclassified,1,0.8524576495,0.1457871202,,,,,,,,,,0.0017552303,,,,,,,,,,,,,,,,,,104,0.141663,0.490353,0.126008
P332,105,11.113,11.113,0,0.344038,0.751777,2.258504,90,0.292637,17,0.476895,0.661848,Unclassified,1,0.7667604711,0.2037545756,0.0194719131,0.0100130402,,,,,,,,,,,,,,,,,,,,,,,,,,105,0.344038,0.751777,0.476895
P333,105,11.117,11.117,0,0.182138,0.551907,1.637552,68,0.206926,9,0.183702,0.481565,Unclassified,1,0.7716050886,0.1522499275,0.0337292772,0.0369862826,,,,0.003103467,,0.0013180351,,0.001007922,,,,,,,,,,,,,,,,,,105,0.182138,0.551907,0.183702
P334,106,7.378,7.378,0,2.792778,2.054271,6.502609,116,0.853177,138,11.029816,1.885703,Unclassified,1,0.7062848668,0.0930931496,0.0534965914,0.1471253922,,,,,,,,,,,,,,,,,,,,,,,,,,106,2.792778,2.054271,11.029816
P335,107,11.078,11.078,0,0.384513,0.794538,2.358239,90,0.292637,19,0.563482,0.699698,Unclassified,1,0.8082798931,0.1701201865,0.01066921,0.0109307103,,,,,,,,,,,,,,,,,,,,,,,,,,107,0.384513,0.794538,0.563482
P336,107,11.19,11.19,0,0.182138,0.578346,1.718812,122,0.206926,9,0.183702,0.481565,Unclassified,1,0.8015916765,0.173414517,0.0110620981,0.0113035526,,,,0.0010898185,,0.0015383373,,,,,,,,,,,,,,,,,,,,107,0.182138,0.578346,0.183702
P337,107,10.675,10.675,0,0.627363,1.07935,3.390023,90,0.413852,31,1.174336,0.893747,Unclassified,1,0.7458102954,0.2307040343,0.0150548249,0.0074285336,,,,0.0010023117,,,,,,,,,,,,,,,,,,,,,,107,0.627363,1.07935,1.174336
P338,108,10.244,10.244,0,0.465463,0.852737,2.554418,115,0.327179,23,0.750484,0.769835,Unclassified,1,0.7931391004,0.1521386551,0.0230687124,0.0300609059,,,,0.0006924882,,,,0.000900138,,,,,,,,,,,,,,,,,,108,0.465463,0.852737,0.750484
P339,108,7.847,7.847,0,1.072589,1.316279,4.029451,59,0.52756,53,2.625206,1.168616,Unclassified,1,0.7281517658,0.119852434,0.0477941039,0.0959694281,,,,0.0011710329,,0.0043949877,,,,0.0026662476,,,,,,,,,,,,,,,,108,1.072589,1.316279,2.625206
P340,108,10.137,10.137,0,0.546413,0.945821,2.831855,41,0.327179,27,0.954543,0.834095,Unclassified,1,0.7311586997,0.1989416093,0.0355490642,0.0312235153,,,,0.0031271115,,,,,,,,,,,,,,,,,,,,,,108,0.546413,0.945821,0.954543
P341,108,10.608,10.608,0,0.182138,0.556997,1.652735,164,0.206926,9,0.183702,0.481565,Unclassified,1,0.0001349471,0.6843272284,0.158831149,0.0163961014,,,,0.0264824717,,0.0232645165,0.0905635859,,,,,,,,,,,,,,,,,,,108,0.182138,0.556997,0.183702
P342,108,8.002,8.002,0,4.148692,2.78667,8.942108,82,0.877912,205,19.97011,2.298321,Unclassified,1,0.8828671276,0.116237806,,,,,,,,,,0.0008950664,,,,,,,,,,,,,,,,,,108,4.148692,2.78667,19.97011
P343,109,7.265,7.265,0,59.174513,12.411954,48.257358,14,2.276185,2924,1075.760783,8.680054,Unclassified,1,0.9067332969,0.0920964439,,,,,,,,,,0.0011702592,,,,,,,,,,,,,,,,,,109,59.174513,12.411954,1075.760783
P344,109,9.367,9.367,0,0.465463,0.95171,2.847038,22,0.327179,23,0.750484,0.769835,Unclassified,1,0.8436731901,0.1528689621,,,,,,,,,,0.0034578479,,,,,,,,,,,,,,,,,,109,0.465463,0.95171,0.750484
P345,109,10.396,10.396,0,0.08095,0.402359,1.194303,27,0.146319,4,0.05443,0.321043,Unclassified,1,0.851733889,0.1464096184,,,,,,,,,,0.0018564926,,,,,,,,,,,,,,,,,,109,0.08095,0.402359,0.05443
P346,109,10.628,10.628,0,0.829738,1.745279,5.440459,64,0.292637,41,1.786181,1.02784,Unclassified,1,0.8547044281,0.1437741365,,,,,,,,,,0.0015214354,,,,,,,,,,,,,,,,,,109,0.829738,1.745279,1.786181
